Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Clicks,Impressions,Engagement_Score,Customer_Segment
Twitter,0.12,4585.56,6.46,11644,36011,9,Home
Facebook,0.13,5131.53,7.47,13140,40442,7,Health
Pinterest,0.06,500.0,0.538029264,389,2250,1,Fashion
Facebook,0.13,9865.28,5.48,25997,78522,3,Health
Facebook,0.14,15000.0,4.31,39767,119310,6,Health
Twitter,0.13,797.43,5.82,2512,8962,6,Food
Instagram,0.1,12040.49,3.81,31870,95920,4,Fashion
Facebook,0.06,2829.81,6.21,6932,22053,9,Health
Facebook,0.02,3414.42,4.46,8463,26589,5,Home
Twitter,0.08,10419.3,2.85,27491,82949,2,Health
Facebook,0.15,14960.01,4.18,38352,115118,3,Technology
Facebook,0.12,9172.04,3.66,24095,72890,7,Food
Twitter,0.1,12041.06,7.55,31872,95925,6,Technology
Instagram,0.06,12439.09,5.31,32929,99057,1,Food
Facebook,0.02,12616.45,3.41,33390,100423,9,Technology
Instagram,0.03,501.06,7.53,2086,7700,9,Technology
Instagram,0.05,4161.94,0.49,10488,32585,2,Fashion
Twitter,0.13,3448.7,5.15,8549,26842,3,Technology
Instagram,0.02,11419.35,5.84,30218,91026,5,Fashion
Instagram,0.13,5318.0,7.85,13642,41927,7,Fashion
Facebook,0.09,12252.01,4.91,32437,97599,6,Home
Pinterest,0.09,7546.44,0.902673682,11552,38599,1,Health
Instagram,0.05,2512.88,0.23,6144,19717,4,Home
Facebook,0.1,14948.89,3.91,38334,115067,7,Home
Instagram,0.12,13975.08,5.09,36614,109970,1,Food
Instagram,0.02,15000.0,6.97,39452,118379,3,Home
Twitter,0.09,9000.57,1.78,23628,71508,5,Food
Facebook,0.06,5444.27,2.35,13980,42929,3,Fashion
Twitter,0.13,7209.59,0.3,18767,57109,5,Health
Facebook,0.01,15000.0,5.28,38609,115880,7,Home
Instagram,0.05,9407.19,5.88,24725,74756,1,Health
Facebook,0.11,14524.41,5.94,37677,113121,8,Food
Facebook,0.09,9271.96,7.13,24357,73667,4,Technology
Pinterest,0.15,9447.99,0.554116517,14584,48470,1,Technology
Instagram,0.05,500.0,2.26,1845,6985,2,Fashion
Pinterest,0.05,13498.83,0.573778716,20893,69012,1,Home
Instagram,0.12,5367.0,0.14,13769,42305,1,Technology
Facebook,0.05,5872.41,0.42,15151,46397,6,Technology
Facebook,0.03,2073.26,2.63,5075,16551,8,Technology
Twitter,0.08,9546.98,5.54,25112,75901,1,Health
Twitter,0.13,7005.6,1.99,18215,55473,1,Fashion
Facebook,0.04,6281.84,7.33,16256,49672,8,Health
Instagram,0.13,11289.78,3.91,29868,89990,7,Fashion
Pinterest,0.11,1886.6,0.925910826,2721,9844,1,Technology
Twitter,0.11,3004.88,6.63,7392,23415,3,Food
Twitter,0.04,1162.73,5.69,3159,10876,1,Home
Twitter,0.12,10630.78,2.76,28072,84670,2,Home
Twitter,0.02,11604.36,2.19,30727,92533,3,Technology
Instagram,0.06,1548.16,0.85,3912,13107,8,Food
Facebook,0.08,4419.05,6.44,11187,34656,3,Home
Twitter,0.06,9623.84,2.28,25323,76526,5,Food
Pinterest,0.12,6496.51,0.868711701,9887,33175,1,Home
Pinterest,0.11,9118.3,0.403968816,14061,46768,1,Home
Instagram,0.11,6975.78,7.74,18135,55236,2,Technology
Pinterest,0.06,6174.23,0.897311264,9377,31517,1,Home
Facebook,0.07,2002.5,7.28,4908,16057,6,Technology
Facebook,0.08,500.0,7.86,1514,6003,9,Health
Facebook,0.11,5820.16,4.1,15003,45959,1,Technology
Instagram,0.13,4150.77,1.7,10456,32491,2,Health
Twitter,0.07,11748.45,3.67,31113,93678,10,Health
Pinterest,0.12,7594.18,0.999197204,11630,38852,1,Health
Twitter,0.14,13283.88,6.42,35071,105401,2,Fashion
Facebook,0.03,6513.51,2.31,16881,51522,9,Technology
Twitter,0.1,8090.72,6.87,21161,64200,7,Home
Instagram,0.1,10667.31,0.96,28172,84966,6,Home
Facebook,0.03,12923.63,4.07,34185,102776,9,Food
Facebook,0.09,15000.0,2.83,39596,118806,10,Home
Twitter,0.11,10021.09,7.77,26406,79734,5,Technology
Twitter,0.06,2497.69,0.86,6106,19605,2,Fashion
Twitter,0.03,500.0,3.4,1758,6728,9,Technology
Twitter,0.14,15000.0,3.15,38954,116904,1,Fashion
Instagram,0.05,3246.39,1.26,8017,25265,5,Food
Twitter,0.11,4713.81,4.26,11995,37049,1,Technology
Pinterest,0.02,9455.84,0.598803333,14596,48511,1,Food
Facebook,0.15,500.0,6.35,852,4044,3,Home
Twitter,0.15,9594.43,3.67,25238,76276,5,Technology
Instagram,0.08,12397.35,4.2,32818,98728,1,Health
Twitter,0.1,9629.57,3.52,25341,76579,5,Home
Pinterest,0.1,13273.3,0.428993433,20583,68003,1,Health
Twitter,0.03,11646.17,7.25,30839,92867,5,Food
Facebook,0.07,10360.28,0.77,27332,82479,9,Food
Pinterest,0.04,1717.5,0.8883739,2500,9124,1,Health
Pinterest,0.09,10558.97,0.77933807,16370,54284,1,Food
Twitter,0.14,4294.49,4.74,10851,33662,2,Technology
Twitter,0.14,9534.31,0.29,25075,75794,9,Health
Twitter,0.08,1504.27,1.79,3815,12819,9,Food
Pinterest,0.03,8533.68,0.761463343,13145,43783,1,Technology
Twitter,0.09,3963.95,1.69,9940,30964,10,Home
Instagram,0.1,14758.74,7.76,38062,114259,8,Fashion
Twitter,0.01,10560.8,2.48,27877,84093,7,Food
Instagram,0.11,10943.49,3.69,28919,87178,2,Home
Twitter,0.02,7241.28,2.82,18849,57352,6,Technology
Instagram,0.05,5941.26,6.88,15343,46967,6,Technology
Pinterest,0.04,6081.42,0.26454595,9233,31049,1,Technology
Instagram,0.05,11499.95,2.55,30438,91680,1,Technology
Twitter,0.08,15000.0,2.62,38547,115696,8,Fashion
Instagram,0.04,3568.09,1.76,8870,27795,6,Health
Pinterest,0.12,2422.21,0.636340259,3475,12298,1,Technology
Facebook,0.09,5509.72,5.84,14157,43454,5,Food
Pinterest,0.09,12357.25,1.211906448,19214,63545,1,Food
Facebook,0.08,6277.94,6.46,16247,49644,1,Home
Twitter,0.11,500.0,3.89,1369,5576,3,Fashion
Instagram,0.03,4245.06,6.87,10717,33263,9,Food
Pinterest,0.07,6289.82,0.824024886,9561,32114,1,Food
Twitter,0.1,6563.06,6.97,17009,51901,8,Fashion
Twitter,0.09,2739.89,5.35,6706,21382,2,Fashion
Facebook,0.08,8932.93,4.6,23449,70976,9,Home
Instagram,0.01,13667.31,7.81,35960,108035,10,Health
Facebook,0.02,1118.76,4.49,3079,10640,5,Health
Twitter,0.06,11044.83,4.59,29197,88001,5,Technology
Pinterest,0.13,2945.4,0.788275433,4248,14813,1,Technology
Twitter,0.06,6864.76,5.74,17830,54333,8,Home
Facebook,0.07,4097.99,7.4,10309,32056,9,Fashion
Facebook,0.1,6220.0,0.93,16090,49178,2,Fashion
Pinterest,0.09,500.0,0.355707055,983,4183,1,Fashion
Instagram,0.06,1107.74,2.31,3059,10581,1,Fashion
Instagram,0.13,3486.85,6.46,8649,27138,6,Health
Facebook,0.1,4767.24,4.47,12137,37471,6,Food
Facebook,0.03,2461.21,0.28,6015,19335,5,Technology
Twitter,0.09,9042.86,5.85,23740,71837,3,Home
Pinterest,0.01,11239.76,0.001787473,17464,57849,1,Technology
Instagram,0.05,5624.82,4.75,14478,44405,4,Health
Facebook,0.1,13019.59,1.62,34428,103498,7,Home
Facebook,0.07,3225.75,7.87,7963,25106,9,Health
Facebook,0.05,7089.74,7.02,18440,56140,3,Food
Twitter,0.12,5914.09,2.56,15265,46735,2,Technology
Facebook,0.01,9387.21,4.79,24666,74581,6,Fashion
Pinterest,0.13,14322.66,0.686389492,21914,72336,1,Health
Pinterest,0.09,13738.55,1.272680517,21209,70040,1,Food
Facebook,0.06,14420.73,4.81,37490,112566,6,Fashion
Facebook,0.04,10395.8,5.17,27426,82757,10,Fashion
Instagram,0.02,7528.69,0.22,19623,59643,8,Technology
Instagram,0.05,4044.78,0.51,10161,31617,3,Home
Facebook,0.02,5838.33,7.5,15053,46106,3,Technology
Twitter,0.05,10093.22,2.1,26607,80330,5,Food
Pinterest,0.13,1519.71,1.031371711,2260,8343,1,Health
Facebook,0.13,9245.25,2.13,24288,73461,5,Health
Pinterest,0.15,1695.27,0.516579592,2472,9031,1,Fashion
Twitter,0.02,500.0,2.26,562,3184,2,Fashion
Pinterest,0.13,11158.8,1.292342716,17332,57419,1,Food
Pinterest,0.05,4755.17,1.295917662,7108,24126,1,Home
Pinterest,0.1,3999.97,1.004559622,5897,20186,1,Technology
Instagram,0.14,500.0,0.83,1880,7088,1,Health
Pinterest,0.03,12161.52,1.297705134,18907,62547,1,Fashion
Twitter,0.02,14051.31,7.53,36777,110455,1,Food
Facebook,0.12,7760.62,2.79,20264,61542,6,Health
Instagram,0.15,11390.77,6.18,30140,90795,2,Fashion
Instagram,0.06,9549.9,2.56,25120,75925,1,Health
Pinterest,0.14,3729.94,1.324517224,5466,18779,1,Health
Instagram,0.1,7392.62,7.4,19249,58536,10,Health
Facebook,0.11,7329.13,0.8,19083,58045,9,Health
Facebook,0.13,10389.4,0.78,27409,82707,8,Fashion
Pinterest,0.12,9050.55,1.143982487,13953,46414,1,Food
Twitter,0.11,12971.44,0.85,34303,103126,10,Food
Pinterest,0.03,13340.92,0.489767502,20678,68311,1,Food
Facebook,0.1,15000.0,0.81,39547,118661,1,Home
Facebook,0.12,6245.53,3.06,16156,49375,7,Fashion
Instagram,0.05,2328.22,0.64,5693,18382,6,Fashion
Twitter,0.06,7000.93,7.75,18205,55443,4,Food
Twitter,0.1,11007.23,6.15,29087,87676,5,Health
Instagram,0.11,11634.23,4.03,30805,92765,2,Technology
Twitter,0.13,2386.44,1.84,5834,18802,10,Fashion
Facebook,0.06,8967.5,2.34,23539,71242,8,Health
Twitter,0.07,12399.35,1.34,32824,98744,3,Health
Facebook,0.09,11452.2,2.01,30311,91302,2,Health
Instagram,0.06,5825.3,0.35,15018,46004,9,Health
Facebook,0.07,5748.62,2.08,14807,45378,7,Health
Facebook,0.12,1806.2,0.58,4453,14709,1,Home
Instagram,0.09,14869.86,1.72,38225,114743,9,Home
Facebook,0.11,2958.67,2.29,7268,23049,3,Food
Facebook,0.14,9041.05,0.85,23733,71819,10,Health
Pinterest,0.02,12645.45,0.287783095,19656,64983,1,Health
Pinterest,0.09,10511.37,1.092145781,16296,54042,1,Food
Pinterest,0.08,12400.74,0.48798003,19280,63761,1,Health
Twitter,0.14,13556.9,2.05,35714,107307,4,Health
Instagram,0.15,1055.38,2.72,2964,10301,3,Fashion
Twitter,0.14,10781.56,5.93,28478,85871,1,Food
Pinterest,0.11,11758.92,0.897311264,18290,60536,1,Food
Twitter,0.13,5226.33,7.29,13396,41199,3,Technology
Instagram,0.02,5973.26,6.53,15432,47231,8,Food
Instagram,0.06,7318.24,2.62,19056,57965,8,Health
Instagram,0.14,13609.3,3.35,35834,107661,4,Food
Twitter,0.05,11113.42,0.59,29392,88579,5,Fashion
Pinterest,0.03,3544.4,0.988472368,5172,17824,1,Fashion
Pinterest,0.05,14327.1,0.33246991,21919,72353,1,Food
Twitter,0.14,3304.66,3.36,8172,25724,4,Food
Pinterest,0.08,4150.82,0.761463343,6141,20978,1,Technology
Twitter,0.02,1587.68,4.28,3987,13331,4,Health
Twitter,0.12,15000.0,6.35,38893,116723,8,Home
Twitter,0.14,12455.71,2.68,32971,99182,2,Technology
Instagram,0.14,13539.29,1.34,35674,107186,6,Technology
Pinterest,0.03,4707.42,0.772188179,7033,23884,1,Home
Pinterest,0.04,500.0,0.718564,935,4024,1,Food
Facebook,0.05,4338.11,3.87,10964,33996,7,Technology
Twitter,0.11,3005.81,0.94,7395,23423,7,Home
Instagram,0.08,9041.64,0.99,23736,71827,4,Technology
Twitter,0.03,15000.0,3.89,38788,116411,10,Home
Instagram,0.09,6659.63,4.56,17267,52666,7,Fashion
Instagram,0.02,13308.62,6.99,35130,105576,5,Health
Facebook,0.02,8271.98,7.02,21662,65684,7,Technology
Facebook,0.09,3019.33,2.94,7433,23536,5,Health
Instagram,0.14,5873.2,7.86,15153,46405,8,Health
Facebook,0.06,14789.48,7.48,38108,114396,9,Technology
Facebook,0.04,1590.33,7.99,3992,13345,6,Home
Pinterest,0.06,13627.58,1.011709512,21071,69592,1,Home
Pinterest,0.12,9005.48,0.530879373,13885,46195,1,Home
Facebook,0.02,10380.16,0.12,27385,82635,1,Food
Instagram,0.13,7709.78,7.12,20116,61104,2,Health
Facebook,0.07,9252.69,6.1,24306,73516,3,Food
Pinterest,0.13,2627.42,0.418268597,3775,13275,1,Technology
Twitter,0.08,12702.47,6.56,33614,101086,6,Home
Instagram,0.01,7313.08,6.93,19044,57928,4,Home
Instagram,0.05,9166.12,1.75,24079,72843,1,Health
Instagram,0.03,9534.65,6.25,25076,75795,7,Health
Instagram,0.12,12954.7,1.58,34261,103002,3,Fashion
Facebook,0.05,1525.26,7.98,3860,12953,7,Food
Facebook,0.07,13168.94,6.56,34795,104585,3,Home
Twitter,0.09,12656.2,3.08,33495,100734,2,Technology
Twitter,0.08,6790.67,6.73,17630,53740,3,Food
Instagram,0.07,6258.45,2.95,16191,49479,7,Health
Instagram,0.03,15000.0,3.77,39063,117225,3,Technology
Pinterest,0.05,12584.71,0.714989055,19561,64676,1,Fashion
Pinterest,0.08,9824.61,0.041111871,15204,50487,1,Food
Pinterest,0.01,9510.88,0.477255194,14689,48811,1,Technology
Twitter,0.04,3956.39,3.49,9921,30907,10,Health
Instagram,0.14,4517.38,3.94,11456,35452,8,Health
Twitter,0.05,4781.38,2.47,12177,37587,4,Fashion
Instagram,0.14,14763.36,2.23,38068,114278,2,Fashion
Twitter,0.11,8926.5,5.37,23431,70922,7,Home
Instagram,0.13,3864.64,1.06,9669,30159,6,Home
Pinterest,0.14,5554.34,0.62382795,8385,28287,1,Technology
Instagram,0.1,15000.0,2.3,38828,116531,6,Technology
Instagram,0.02,7706.06,0.61,20107,61077,2,Home
Instagram,0.04,11847.9,6.69,31370,94437,8,Home
Twitter,0.05,11240.58,2.11,29737,89603,1,Technology
Instagram,0.07,14874.54,5.74,38231,114763,3,Technology
Facebook,0.13,9985.98,0.39,26310,79452,8,Food
Instagram,0.02,9611.8,7.03,25289,76425,2,Food
Pinterest,0.03,10428.66,1.202969084,16160,53602,1,Fashion
Twitter,0.1,4595.02,3.74,11669,36083,2,Technology
Facebook,0.06,4169.66,5.56,10507,32641,6,Technology
Twitter,0.11,11203.21,3.85,29635,89299,3,Technology
Pinterest,0.05,2876.45,0.988472368,4141,14468,1,Food
Instagram,0.05,10720.26,0.34,28316,85392,3,Home
Pinterest,0.12,11494.97,0.407543761,17869,59165,1,Food
Pinterest,0.13,5282.43,1.008134567,7955,26884,1,Food
Instagram,0.14,9170.34,1.32,24091,72879,6,Health
Twitter,0.12,12103.79,7.09,32040,96424,7,Fashion
Twitter,0.06,10151.78,1.61,26772,80821,8,Technology
Facebook,0.09,7703.7,4.27,20100,61057,5,Home
Facebook,0.02,2659.67,5.22,6505,20787,8,Fashion
Facebook,0.02,500.0,0.98,1606,6276,8,Health
Facebook,0.12,5929.73,4.27,15310,46868,4,Technology
Facebook,0.1,2470.05,1.33,6035,19397,7,Fashion
Facebook,0.04,10526.17,4.89,27782,83812,4,Food
Facebook,0.11,500.0,0.33,892,4163,1,Food
Twitter,0.13,2383.75,6.77,5828,18781,10,Fashion
Facebook,0.13,11234.28,0.13,29722,89558,10,Home
Instagram,0.05,11136.87,3.18,29449,88748,3,Home
Instagram,0.06,7456.97,0.44,19421,59046,5,Food
Pinterest,0.03,5008.77,0.900886209,7516,25455,1,Home
Facebook,0.07,4355.69,2.84,11011,34135,3,Home
Facebook,0.11,11711.86,1.59,31009,93368,9,Fashion
Pinterest,0.08,3019.14,1.024221821,4365,15193,1,Technology
Instagram,0.06,500.0,2.77,1793,6832,8,Home
Pinterest,0.14,6827.07,1.135045124,10412,34887,1,Technology
Instagram,0.09,2136.95,2.15,5229,17008,9,Home
Pinterest,0.03,7320.89,0.993834786,11196,37438,1,Home
Pinterest,0.12,2103.5,0.552329045,3022,10825,1,Technology
Instagram,0.09,14448.06,7.34,37543,112724,1,Home
Facebook,0.04,10532.04,6.35,27799,83862,4,Home
Facebook,0.06,14929.47,2.46,38310,114994,9,Fashion
Pinterest,0.11,3432.73,1.086783363,4997,17253,1,Food
Twitter,0.1,4374.29,6.46,11064,34292,4,Home
Instagram,0.11,12721.42,7.21,33664,101233,4,Food
Twitter,0.13,13908.99,7.46,36476,109564,9,Fashion
Twitter,0.01,3224.2,3.15,7958,25092,4,Home
Facebook,0.12,10212.11,4.87,26934,81298,7,Home
Instagram,0.01,5498.97,4.77,14130,43372,10,Health
Pinterest,0.01,3094.28,0.48798003,4476,15556,1,Technology
Pinterest,0.07,13870.42,0.071498905,21378,70590,1,Health
Pinterest,0.11,13393.55,0.055411652,20750,68548,1,Technology
Facebook,0.11,935.83,7.73,2748,9659,9,Food
Facebook,0.11,9624.55,2.85,25325,76532,4,Technology
Pinterest,0.15,13279.33,1.186881831,20591,68030,1,Technology
Pinterest,0.09,500.0,0.237733861,384,2231,1,Technology
Instagram,0.12,9191.8,5.85,24147,73045,2,Technology
Instagram,0.08,5915.21,6.64,15270,46749,7,Food
Pinterest,0.12,10786.41,0.822237413,16734,55469,1,Fashion
Facebook,0.13,4963.85,0.51,12671,39052,3,Home
Twitter,0.03,500.0,7.86,1114,4820,4,Home
Twitter,0.07,2472.46,7.53,6041,19413,6,Technology
Instagram,0.03,6926.67,4.18,18000,54836,8,Technology
Facebook,0.14,13471.63,7.02,35514,106712,9,Home
Facebook,0.03,500.0,7.5,1075,4704,9,Fashion
Instagram,0.06,12335.08,4.87,32654,98241,10,Technology
Facebook,0.04,14396.38,4.72,37446,112437,6,Health
Twitter,0.07,7940.93,2.07,20753,62990,3,Technology
Twitter,0.06,1570.98,7.89,3956,13239,8,Health
Facebook,0.01,10056.62,1.89,26505,80027,2,Fashion
Instagram,0.13,9195.12,6.88,24157,73073,4,Health
Instagram,0.02,10708.33,7.83,28288,85309,9,Technology
Facebook,0.04,12800.93,5.64,33875,101859,10,Technology
Twitter,0.12,4896.51,5.46,12490,38515,1,Home
Instagram,0.05,7460.27,4.25,19431,59076,3,Fashion
Pinterest,0.02,12184.78,0.173384846,18946,62674,1,Home
Twitter,0.02,500.0,6.79,1051,4634,7,Fashion
Twitter,0.06,500.0,4.7,866,4084,6,Technology
Instagram,0.12,9366.82,1.48,24606,74404,8,Food
Facebook,0.14,1988.95,1.92,4875,15961,2,Food
Facebook,0.12,6197.08,5.22,16028,48995,5,Fashion
Pinterest,0.13,9126.02,0.845474557,14074,46809,1,Home
Facebook,0.11,15000.0,3.07,39105,117351,1,Fashion
Facebook,0.05,10519.31,6.82,27766,83763,10,Health
Facebook,0.1,7540.21,1.96,19653,59733,8,Technology
Twitter,0.15,9753.54,3.85,25687,77606,9,Fashion
Facebook,0.13,500.0,0.08,1410,5697,3,Health
Facebook,0.02,5500.36,1.99,14134,43385,7,Fashion
Pinterest,0.02,11887.57,1.358479204,18484,61168,1,Technology
Instagram,0.11,15000.0,4.74,38859,116621,7,Fashion
Twitter,0.1,861.57,2.91,2614,9263,4,Home
Instagram,0.09,1720.4,2.13,4265,14152,2,Food
Facebook,0.06,2103.13,4.13,5146,16764,2,Technology
Instagram,0.03,864.34,1.77,2619,9279,4,Food
Facebook,0.02,5152.36,3.67,13199,40617,2,Home
Facebook,0.15,1136.04,1.74,3108,10727,8,Technology
Pinterest,0.05,9694.12,0.959872806,14988,49786,1,Food
Instagram,0.11,4467.28,6.56,11319,35046,1,Health
Instagram,0.12,9115.5,5.8,23933,72411,9,Technology
Pinterest,0.08,500.0,1.056396328,384,2231,1,Food
Pinterest,0.14,8300.81,0.144785284,12769,42562,1,Home
Twitter,0.08,5617.49,7.3,14460,44350,4,Technology
Pinterest,0.11,6196.07,1.363841622,9411,31626,1,Fashion
Pinterest,0.08,5446.16,0.902673682,8213,27727,1,Health
Pinterest,0.03,1684.92,0.990259841,2460,8993,1,Technology
Instagram,0.08,10817.65,0.22,28579,86171,2,Food
Twitter,0.04,3091.47,1.57,7615,24075,3,Health
Pinterest,0.06,2886.76,1.047458965,4158,14522,1,Food
Facebook,0.05,4701.78,6.44,11963,36953,6,Home
Pinterest,0.02,12010.55,0.384306617,18674,61788,1,Fashion
Facebook,0.03,14160.49,2.26,37000,111115,5,Fashion
Twitter,0.04,13055.71,6.39,34516,103756,6,Technology
Facebook,0.12,10842.28,0.97,28643,86362,1,Health
Instagram,0.02,3151.7,7.26,7770,24535,7,Home
Facebook,0.11,6880.09,3.75,17871,54455,10,Food
Twitter,0.1,7586.41,0.56,19781,60111,5,Fashion
Instagram,0.12,4517.81,5.48,11457,35456,10,Home
Instagram,0.06,12825.01,7.98,33938,102046,9,Health
Instagram,0.08,10096.99,1.75,26618,80362,10,Health
Twitter,0.02,1898.41,6.64,4663,15332,3,Home
Facebook,0.11,500.0,0.86,779,3827,7,Food
Instagram,0.11,2766.33,2.14,6774,21584,4,Health
Twitter,0.04,4786.95,6.56,12193,37637,2,Food
Twitter,0.09,6313.02,4.39,16346,49937,1,Fashion
Pinterest,0.13,610.71,1.344179423,1314,5261,1,Health
Twitter,0.07,6474.84,7.43,16778,51216,7,Fashion
Twitter,0.13,6709.8,7.47,17401,53063,3,Fashion
Pinterest,0.1,5393.15,0.561266408,8130,27456,1,Fashion
Twitter,0.07,5900.56,1.52,15227,46622,7,Fashion
Twitter,0.1,13083.64,0.01,34586,103964,5,Food
Pinterest,0.02,13140.14,0.97596006,20394,67389,1,Food
Twitter,0.05,11285.13,2.97,29855,89953,3,Home
Twitter,0.11,9351.33,7.68,24569,74293,7,Food
Pinterest,0.11,5692.86,1.286980298,8607,29010,1,Food
Pinterest,0.09,11534.66,1.054608856,17934,59376,1,Technology
Twitter,0.14,5430.99,7.35,13943,42821,3,Health
Instagram,0.03,11757.23,1.22,31136,93746,5,Technology
Twitter,0.04,9487.39,3.74,24943,75402,7,Food
Twitter,0.04,13078.56,0.72,34574,103928,1,Health
Facebook,0.06,3165.31,1.92,7805,24640,9,Technology
Twitter,0.1,10965.6,3.92,28976,87348,8,Fashion
Twitter,0.09,4153.68,3.93,10464,32516,1,Fashion
Instagram,0.12,5431.3,6.54,13944,42822,2,Technology
Instagram,0.04,5152.41,1.28,13200,40617,6,Food
Pinterest,0.15,3367.77,1.149344905,4898,16930,1,Health
Facebook,0.13,4682.26,1.71,11908,36792,3,Health
Twitter,0.01,14451.94,6.04,37552,112750,4,Fashion
Twitter,0.08,14580.42,6.06,37773,113406,7,Fashion
Pinterest,0.14,15000.0,1.004559622,23191,76494,1,Home
Instagram,0.09,11071.69,3.48,29271,88222,7,Fashion
Twitter,0.02,1118.79,5.38,3079,10640,7,Food
Pinterest,0.09,5714.35,0.19662199,8644,29128,1,Health
Facebook,0.01,10616.99,6.43,28033,84554,6,Health
Instagram,0.14,15000.0,6.69,39633,118915,7,Technology
Facebook,0.06,7727.54,6.71,20170,61264,3,Fashion
Pinterest,0.13,15000.0,0.148360229,23214,76571,1,Health
Twitter,0.03,4134.62,2.99,10409,32353,8,Food
Twitter,0.09,2360.26,0.74,5769,18609,1,Fashion
Instagram,0.09,15000.0,3.45,38582,115802,5,Health
Facebook,0.1,15000.0,4.56,39000,117038,2,Home
Facebook,0.12,8884.06,3.67,23311,70567,7,Food
